service,subgroup,module,in the library,run,what we did to the code,total (2019 USD),"what the number is, and what it is checked against",what we need
Terrestrial Carbon,terrestrial,terrestrial_carbon,yes,yes,"Reorganised so the equations sit apart from the file handling, which let us test them. Doing that exposed an error in the shock calculation: it was dividing by the wrong baseline. The module's own tests caught it before it reached a number.",$5.365T,"Computes carbon stock from the zone-by-class density table and prices it at the rental social cost of carbon. Reproduces the manuscript total of $5.365T, after fixing a double-count that entered split countries once per sub-region (China six times, 23.5 percent overstatement).",-
Coastal Carbon,coastal,coastal_carbon,yes,yes,"Merged the author's rework, then reorganised the same way. The equations no longer open files themselves, so each can be run on a small made-up table with the answer worked out by hand. We checked the reorganised code against the original on identical inputs and every output matched exactly.",$22.84bn seaward only. $102.18bn both sides.,"Computes mapped habitat area times per-habitat density, priced like terrestrial carbon. Matches the author's reported numbers. EEZ-only gives $22.84bn; including the landward pixels gives $102.18bn.","The design decision: count only habitat pixels seaward of the shoreline, or the landward side too (4.5 times the total). The seagrass and marsh input versions."
Marine Carbon,-,-,no,-,-,-,no marine module found,a decision whether marine carbon is in the account's scope
Pollination,-,pollination,yes,yes,"Rebuilt on the shared layout. The step that adds up the pollination value raster inside each region used to be written inline; it is now a separate function we could test, and it returns identical numbers to the old code on the same inputs.",$18.28bn raster side (valued at 2023). $515bn FAO side. Two definitions of the same service.,"Aggregates the author's sufficiency-weighted value raster to countries with our own zonal code, $18.28bn at 2023. The FAO-side alternative of $515bn comes from the author's committed table. Which definition the account uses is open.","The definition decision: the service nature currently delivers (the raster side) or the production value at stake (the FAO side). Then regeneration at the GEP base year (2019). And whether the GEP total adds pollination on top of crop production, since both attribute part of the same crop output to nature."
Erosion Control,-,erosion,yes,yes,Folded in from the author's repo and the valuation formulas rewritten so they can be tested. This is the one service not yet reorganised like the others; that work waits until a replication run succeeds.,-,"We could not replicate. Four upstream layers that decide which land cover prevented the erosion (upslope forest, grass, cropland and bare share) are referenced at a cluster path, /projects/standard/jajohns/..., that does not exist on this machine, so the run proceeded without them. An earlier run produced $15.54bn, but it ran under the same condition, so we do not report it.",A reachable location for the four upstream attribution layers.
Landslides,-,landslide_mitigation,yes,yes,"Folded in from the v0.2.0 release and reorganised. The science now sits in one file of small testable pieces (stability, rainfall, hazard, deaths, the value of a statistical life). We also fixed two switches that did not do what they said: the option meant to force a step to rerun actually disabled it, and the figure step ignored the setting that says whether to run at all, so it redrew every time.",$770.7M (570.66 avoided deaths),"Computes slope stability with and without forest root cohesion end to end, and values avoided deaths at a value of a statistical life. First full cluster run gives 570.66 avoided deaths, $770.7M. No reference output exists to compare against.","one per-country output from a v0.2.0 run, and its input versions"
Fisheries,commercial,fisheries,yes,yes,"Translated from R to Python. The scenario shock's row building moved next to the rest of the science so it could be tested, and we checked it produces identical rows to the previous version.",$29bn provisional,"Computes the CWoN economic rent per country and predicts 2019 by trend. Provisional at $29bn, with no reference output to compare against yet.","the source pipeline's output table, and the source decision (CWoN or FishStatJ)"
Fisheries,subsistence,fisheries,yes,yes,"Reorganised onto the shared layout. The value is now computed from the release's own quantities and prices instead of read out of its published total column, which also retires a rule that kept whichever published value came first where a country carried more than one.",$7.92bn,"Computes consumptive-use value as harvested quantity times price per kilogram, summed over species, $7.92bn across 65 countries. Every country whose quantities and prices the release carries reproduces the committed output, and the total is unchanged. Twenty countries publish a value of exactly zero with no quantity or price behind it; those are left empty rather than reported as zero, and being zero they take nothing out of the total.","The decision what the account's fisheries value is: the commercial rent alone, the sum of both components, or something else. The two measure different things. The commercial side values the rent of the reported catch, the subsistence side the use value of the home catch. The commercial series is built from FAO catch statistics, so where a country's reported catch already includes subsistence fishing, a sum counts that catch twice."
Crop Production,commercial,crop_provision,yes,yes,"Two fixes. Country codes: FAOSTAT still lists countries that no longer exist (the USSR, Yugoslavia and similar), so production was being stranded on codes that match no present-day country; those now map to their successor states and are tested. The reporting year was also written into the code as a fixed number, and now comes from the shared configuration like every other service.",$678bn,"Computes FAOSTAT production value times the CWoN land rental rate. A fresh run reproduces $678,413,996,115 to the cent.","Does the GEP total add crop production and pollination? Crop multiplies production value by the CWoN land rental rate, and pollination values the crop production attributable to wild pollinators, so both attribute part of the same output to nature."
Livestock Production,commercial,livestock_provision,yes,in progress,"Same treatment as crop production, plus a units fix: FAOSTAT reports value in thousands of dollars and the module was reporting those figures as dollars, so the total was a thousand times too small. The feed-share formula is written and tested, and its data is now harvested.",$2.29T draft (incomplete: the nature-attribution step is still missing),"Computes on the 65-product FAO list. The attribution still uses a land rental rate standing in for the feed share, so the reported numbers remain provisional: India $136bn, world $2.29T. The feed share itself is now available: GLEAM 3 intake was harvested from FAO's public dashboard for 231 countries, 205 of which match a country in the account, giving a real share rather than a bound (Mongolia 0.998, India 0.911, Brazil 0.847, France 0.651, United States 0.567, China 0.513).","The compiled GLEAM extract (gleam3_dmi.xlsx) to validate our harvest against, the confirmation of which FAO products count as livestock, and one per-country output. Correction to what we said earlier: the dashboard does serve all eight feed categories. It shows a different subset per species, so ruminants carry fodder crop and monogastrics carry the two 'other' categories, and only their union is complete."
Coastal Protection,-,coastal_protection,yes,yes,"Reorganised onto the shared layout, with the shared country matching and report rendering, and the currency-inflation step broken into testable pieces. The mangrove value is now computed from the table's own area and price per hectare instead of read out of its published total column.",$36.72bn,"Two components. Mangroves are OURS: computed as protected hectares times value per hectare, $36,721,148,443 in total, which lands within $4,983 of the published figure, that table's own per-row rounding. Coral reefs are NOT ours: their table carries a finished annual benefit per country and nothing underneath it, so there is no chain to run; we carry it from 2011 to the base year with the World Bank deflator and add it. Nine countries missing from the deflator table are zeroed by the join where they should be left unvalued.","Whether a chain exists behind the coral-reef benefit table that we should be running, since that half is still someone else's number."
Mining Production,-,extractive_materials_provision,yes,yes,"The valuation is now a tested function using the shared country matching. We also pinned the step that reshapes the World Bank table against the code it replaced, and guarded against an invisible character Excel writes at the start of a file, which had previously broken a column name.",$99.54bn,Computes World Bank mineral rents share times GDP times the 0.49 factor. A fresh run reproduces $99.54bn to the cent. The factor's source is unknown; without it the total would be $203bn.,the source of the 0.49 factor
Energy Production,-,renewable_energy_provision,yes,yes,"The calculation was written out as one long block in the task file even though tidy functions for it already existed alongside; the task now calls those, and each step is tested against a small table worked out by hand.",$170.83bn,"Computes IRENA generation times World Bank price times the CWoN rent share. A fresh run reproduces $170.83bn and each resource to the cent: wind $110.31bn, solar $53.95bn, geothermal $6.56bn. The drive's reference CSVs hold $134.6bn, and which is current is open.",the decision which source is current. The folder's method note suggests the drive CSVs are older than the code.
Recreation,-,recreation,yes,yes,"Ported onto the shared layout. Reading the UNWTO tourism workbook moved out of the calculation code, and we checked the reorganised reader returns exactly the same 3,610 rows from the real workbook.",$1.73bn provisional (a units question is open),"Computes the site ranking, the gravity allocation and the travel-cost valuation end to end. Provisional at $1.73bn, and the author's output table is not reachable.","One per-country results CSV from the author's own run, to verify the port by replication. And whether the travel-cost step intended kilometres. The code multiplies a fuel cost per kilometre by a distance measured in the raster's pixel units, which understates the value about a hundredfold."
Wildfires,-,fire_protection,yes,yes,"Translated from R to Python, function by function against the R source. The tests re-run the whole calculation against the author's committed output every time, and one test deliberately shuffles the input to prove the code notices rather than silently mismatching rows.",three variants: -$22.4bn / -$1.3bn / +$16.7bn,"Computes avoided acres and their valuation and reproduces the source repo's committed output for all 161 units. THE REGRESSIONS THEMSELVES ARE NOT REFIT: their committed coefficients are an input, because the ADM2 panel they were fitted on is not staged. Three coefficients give three totals: baseline persistence -$22.4bn, cause difference -$1.3bn, area difference +$16.7bn. 89 of the account's 250 countries carry no value. Fixed 2026-08-22: Kosovo (GADM XKO vs the account's XKX) and India's Z01 and Z07 fell out of the country join, leaving $34.09M attached to no country while still inside the total.",the decision which variant is the account's
Urban Cooling,-,local_climate_regulation,yes,yes,"The valuation was ported from the author's v04 script, with tests covering the price-times-energy step and the cooling-degree-day arithmetic. It now computes the country value by summing the chain's own city-month files rather than reading the committed accounting table, and asserts each file's kilowatt-hours-times-price identity before summing.",$175.56bn (ours),"Computed here: avoided cooling energy priced at the national electricity price, summed over every city, $175,560,893,152 across 177 countries. The committed accounting table totals $14,188,882,295 and is carried beside ours as an anchor rather than reported. They disagree by a wide, country-varying margin, from about 2.5 to 766 times, so it is not a units slip: something sits between these city values and that table which is not in anything we hold.",What turns the city-month valuations into the committed accounting table. And confirmation of which figure the account takes.
Water Quality,-,water_quality,yes,yes,"The original pipeline's code is nowhere we can reach, so the calculation was rebuilt in Python from its committed intermediate tables, and both nutrient identities reproduce them.",$638bn USD. $655.91bn international dollars.,"Replicates the nitrogen and phosphorus valuations and validates against the committed intermediates for 178 countries. The headline international-dollar figure, $655.91bn, is the author's and not ours: the conversion from US dollars could not be identified, so we cannot recompute it. The retention estimates come from an upstream nutrient model and are taken as given.","The currency-conversion script and its inputs. The account's currency decision between market dollars and international dollars, the purchasing-power unit in which one dollar buys in each country what it buys in the United States."
Air Filtration,-,air_filtration,yes,yes,"The valuation was written from scratch in Python (deaths times the value of a statistical life), since only the workbook existed. Tests cover both channels, the rule that fills a missing value-of-life figure, and a guard against matching countries by row position instead of by name.",$17.81bn,"Recomputes avoided deaths times a GDP-adjusted value of a statistical life, $17.81bn, and reproduces the committed totals. The avoided-death counts come from the group's emissions-to-health chain and are taken as given.","the VSL calculation behind the workbook, and the vintage of the avoided-death estimates"
Sandstorm / Dust Storm Prevention,-,air_filtration (dust channel),yes,yes,Same module and same tests as air filtration; this is its dust channel.,$595.36bn,"Recomputes the dust channel the same way, $595.36bn, and reproduces the committed totals. Same upstream dependency as air filtration.",The same as air filtration. And whether this magnitude is expected. The dust value is 33 times the air-filtration value from the same workbook.
Hydropower,hydropower,water_supply,yes,yes,"The method behind the committed output was not documented, so we worked it out and implemented it. Two later fixes: the reported figure had been blanking seventeen countries purely so it would match the reference, and two spellings of the same country in the AQUASTAT file (Russia and Russian Federation, Korea twice) were both matching, so those countries were counted twice.",$144.68bn,"Computes CWoN capitalized wealth divided by a 4 percent, 100-year annuity for every country the wealth table values: $146.08bn across 112 countries, which is what we report. The 95-country reference-matching variant reproduces the committed anchor ($144,680,445,650) to two dollars, its own rounding. Before the fix the reported figure was $146.57bn, which was the reference-fitted country set plus Korea and Russia counted twice. The manuscript records $287.7bn from a direct-use method.","the decision which hydropower total is the account's ($287.7bn direct use or $144.68bn rent), and the reason 17 countries are empty in the reference"
Water Use,water use,water_supply,yes,yes,"Translated from R to Python, with tests covering the sector arithmetic and the country name matching.",$1.07T agriculture. $36.61T all sectors.,"Computes sector efficiency times sector withdrawal from the raw AQUASTAT export: agriculture $1.07T across 126 countries, all-sector $36.61T across 154. The drive's committed tables, $554.5bn and $36.08T, come from two different chains and serve as comparison anchors. No nature-attribution step exists yet.","The crop-water valuation scripts behind the agriculture component, and whether its factor of 1000 is a units conversion. The data vintage behind the all-sector component. An attribution factor. The current totals are the gross value of water use, and the account needs the share of that value credited to nature before any of it enters."
Extractive Energy,-,extractive_energy,yes,yes,"The valuation was written from the published CWoN rent tables, since the drive had outputs but no script. Tests cover the three fuels and their sum, a country with only coal, and a country absent from every table.","$1,048.9bn","Computes gas, coal and petroleum rents at 2019, one country one row, $1,048.9bn. The committed tables total $1,140.4bn because eight rows carry another country's full value.","confirmation that the eight duplicated rows are a join error, and which total the account keeps"
